孔口宽度,插入深度,黏度比,毛细管数,流动相流速,分散相流速,流速比,液滴直径/um,液滴生成速率
212.74,20,43.78109453,156.5836299,100,35,2.857142857,537.542928,7.172634839
212.74,20,43.78109453,156.5836299,100,75,1.333333333,627.8173128,9.647427754
212.74,20,43.78109453,161.2811388,103,16,6.4375,534.260223,3.339731818
212.74,20,43.78109453,164.4128114,105,55,1.909090909,608.1210834,7.784713655
212.74,20,43.78109453,175.3736655,112,90,1.244444444,648.3342184,10.5122532
212.74,20,43.78109453,180.0711744,115,55,2.090909091,592.5282351,8.415611411
212.74,20,43.78109453,180.0711744,115,75,1.533333333,606.4797309,10.70194033
212.74,20,43.78109453,181.6370107,116,115,1.008695652,660.6443618,12.69535286
212.74,20,43.78109453,187.9003559,120,35,3.428571429,552.3151,6.612374292
212.74,20,43.78109453,200.4270463,128,135,0.948148148,644.2308373,16.07160964
212.74,20,43.78109453,297.5088968,190,135,1.407407407,579.3974155,22.0929771
212.74,20,43.78109453,297.5088968,190,175,1.085714286,640.1274562,21.23678731
212.74,20,43.78109453,302.2064057,193,115,1.67826087,560.5218623,20.78597049
212.74,20,43.78109453,305.3380783,195,155,1.258064516,589.2455302,24.11531518
212.74,20,43.78109453,310.0355872,198,95,2.084210526,540.0049566,19.20350494
212.74,20,43.78109453,357.0106762,228,195,1.169230769,590.8868826,30.08650212
212.74,20,43.78109453,364.8398577,233,175,1.331428571,570.369977,30.02052009
212.74,20,43.78109453,371.1032028,237,155,1.529032258,557.2391574,28.51392168
212.74,20,43.78109453,375.8007117,240,95,2.526315789,491.5850593,25.45527043
212.74,20,43.78109453,375.8007117,240,135,1.777777778,546.5703664,26.3175622
212.74,20,43.78109453,380.4982206,243,115,2.113043478,515.3846699,26.73951255
212.74,20,43.78109453,399.2882562,255,95,2.684210526,486.6610019,26.23578736
212.74,20,43.78109453,399.2882562,255,195,1.307692308,562.1632147,34.93795443
212.74,20,43.78109453,407.1174377,260,75,3.466666667,475.992211,22.13664802
212.74,20,43.78109453,407.1174377,260,155,1.677419355,535.0808993,32.20501368
212.74,20,43.78109453,410.2491103,262,135,1.940740741,526.874137,29.38077595
212.74,20,43.78109453,414.9466192,265,115,2.304347826,520.3087272,25.98750846
212.74,20,43.78109453,430.6049822,275,175,1.571428571,527.6948132,37.90877119
212.74,20,43.78109453,469.7508897,300,195,1.538461538,526.874137,42.43889859
131.2,18,43.78109453,156.5836299,100,30,3.333333333,476.4608171,8.828558841
131.2,18,43.78109453,156.5836299,100,35,2.857142857,480,10.0738265
131.2,18,43.78109453,156.5836299,100,40,2.5,483.3060775,11.27829258
131.2,18,43.78109453,156.5836299,100,45,2.222222222,485,12.55559888
131.2,18,43.78109453,156.5836299,100,50,2,487,13.77949354
131.2,18,43.78109453,156.5836299,100,55,1.818181818,499,14.0900063
131.2,18,43.78109453,156.5836299,100,60,1.666666667,507.9985838,14.56846787
131.2,18,43.78109453,156.5836299,100,65,1.538461538,520,14.7147694
131.2,18,43.78109453,156.5836299,100,70,1.428571429,532.6188706,14.746825
131.2,18,43.78109453,156.5836299,100,75,1.333333333,540,15.16107928
